2024-02-25,Montgomery Inc,412.85,,6300********1193
2024-07-08,Richards and Sons,256.4,,6690********6676
2024-12-13,Howard and Sons,341.48,,5726********4185
2024-10-30,Lee Ltd,350.03,,4553********6428
2024-12-25,"Miller, Graham and Young",184.23,,5784********5592
2024-05-17,Harvey-Woodard,460.18,,9709********6122
2024-11-15,"Johnson, Elliott and Johnson",168.57,,6543********3643
2024-07-03,"Martin, Hanson and Scott",440.37,,8404********5019
2024-08-04,"Moss, Holland and Khan",221.6,,2802********2795
2024-04-19,Thomas Group,210.15,,8184********7034
2024-10-16,Mcconnell PLC,263.71,,8781********5236
2024-06-06,Santana and Sons,123.15,,5189********8847
2024-09-18,Wood-Bruce,188.28,,4508********4955
2024-02-18,"Robertson, Lopez and Huang",157.08,,1555********8792
2024-11-07,"Liu, George and Roberts",390.46,,3901********6047
2024-02-20,"Davis, Erickson and Calderon",269.26,,1436********4669
2024-03-13,Todd Inc,116.83,,1589********6659
2024-07-03,Lee-Cruz,197.27,,1958********8303
